"subNum","trial_number","cuedAR","uncuedAR","responseAR","response_error","rt","shape_org","cueType","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","uncued_motion_dir","arDiff","pairAvg","cuedMotDir","pairGlobalOrg","pairMotDirSameness","pairMotDirSameness_wRandom","pairMotSame","pairMotDiff","pairMotRandom","pairSameARCat","pairAR_sameCondition","motDirComp","pairMotCoherent","pairMotDiago","id","corrCoeff","corrPval"
16592,23,0,0,0.13899,0.13899,1664,1,1,270,0,0,0,9999,9999,0,0,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,110,0,0,0.13899,0.13899,1624,2,1,180,180,2,0,9999,9999,0,0,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,65,0,0,0.04633,0.04633,1915,2,1,0,270,2,0,9999,9999,0,0,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,32,0,0,0,0,2182,4,1,0,90,1,0,9999,9999,0,0,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,110,0,0,0,0,1822,1,2,0,270,1,0,9999,9999,0,0,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,50,0,0,-0.09266,-0.09266,3340,4,1,90,180,0,1,90,180,0,0,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,45,0,0,-0.18533,-0.18533,6600,3,2,0,90,0,0,9999,9999,0,0,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,14,0,0,-0.32432,-0.32432,1306,1,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,63,0.04633,0.04633,0.37065,0.32432,1794,1,1,180,180,0,1,180,180,0,0.04633,0,0,1,1,1,0,0,1,1,0,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,109,0.04633,0.04633,0.32432,0.27799,2665,1,1,0,90,1,1,0,90,0,0.04633,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,146,0.04633,0.04633,0.32432,0.27799,1979,3,2,0,0,2,1,0,0,0,0.04633,0,1,1,1,1,0,0,1,1,0,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,32,0.04633,0.04633,0.18533,0.139,1173,1,1,180,0,2,1,180,0,0,0.04633,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,16,0.04633,0.04633,0.13899,0.09266,1758,3,1,0,0,0,0,9999,9999,0,0.04633,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,33,0.04633,0.04633,0.09266,0.04633,2754,1,2,0,90,1,0,9999,9999,0,0.04633,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,19,0.04633,0.04633,0,-0.04633,1550,4,2,0,270,1,0,9999,9999,0,0.04633,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,37,0.04633,0.04633,-0.09266,-0.139,1673,4,2,90,90,0,1,90,90,0,0.04633,1,1,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,90,0.04633,0.04633,-0.139,-0.18533,1615,1,2,270,180,1,1,180,270,0,0.04633,0,0,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,68,0.04633,0.04633,-0.37066,-0.41699,1729,1,2,0,180,2,0,9999,9999,0,0.04633,2,0,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,51,0.04633,0.04633,-0.41699,-0.46332,2079,3,1,90,0,1,1,90,0,0,0.04633,1,1,0,0,0,1,0,1,1,3,1,0,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,41,0.09266,0.09266,0.41699,0.32432,2523,3,1,90,90,2,0,9999,9999,0,0.09266,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,94,0.09266,0.09266,0.37065,0.27799,1772,3,2,180,180,2,1,180,180,0,0.09266,0,1,1,1,1,0,0,1,1,0,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,136,0.09266,0.09266,0.09266,0,2253,4,1,270,90,0,0,9999,9999,0,0.09266,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,136,0.09266,0.09266,0.09266,0,2253,4,1,270,90,0,0,9999,9999,0,0.09266,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,14,0.09266,0.09266,0.09266,0,18029,3,2,270,270,2,1,270,270,0,0.09266,1,1,1,1,1,0,0,1,1,1,1,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
16592,9,0.09266,0.09266,0,-0.09266,3549,4,2,270,180,0,0,9999,9999,0,0.09266,2,1,1,2,0,0,1,1,1,2,0,1,"o1",0.524099917712848,0.00000000000000000000000000000000000107904274297885
